nodeID,xcoord,ycoord,floor,building,nodeType,longName,shortName
FHALL03001,252,609,01,Tower,HALL,Lobby Hallway 5,Hallway F02701
FHALL03101,633,339,01,Tower,HALL,Lobby Hallway 6,Hallway F02801
FHALL03201,365,392,01,Tower,HALL,Tower Hallway 13,Hallway F03201
FHALL03301,673,645,01,Tower,HALL,Emergency Hallway,Hallway F03301
FINFO00101,307,589,01,Tower,INFO,75 Lobby Information Desk,Lobby Info Desk
FLABS00101,452,613,01,Tower,LABS,Obstetrics Admitting,Obs Admitting
FREST00101,698,339,01,Tower,REST,Bathroom 75 Lobby,Bathroom Lobby
FRETL00101,580,207,01,Tower,RETL,Lobby Vending Machine,VM Lobby
FRETL00201,216,609,01,Tower,RETL,Au Bon Pain,ABP
FSERV00101,557,234,01,Tower,SERV,Shattuck Street Lobby ATM,Lobby ATM
FSERV00201,212,392,01,Tower,SERV,Tower Medical Cashier,Tower Cashier
FSERV00301,307,521,01,Tower,SERV,Kessler Library,Kessler Library
FSERV00401,328,333,01,Tower,DEPT,Spiritual Care Office,SCO
FSERV00501,252,643,01,Tower,SERV,75 Lobby Valet Cashier,Valet Cashier
FSTAI00101,633,255,01,Tower,STAI,Lobby Shattuck Street Stairs,Stairway F00101
FSTAI00201,280,165,01,Tower,STAI,Tower Stairway 1,Tower Stairs 1
FSTAI00301,554,602,01,Tower,STAI,Lobby Escalator,Lobby Escalator
WELEV00L01,417,293,01,Tower,ELEV,Elevator L Floor 1,Elevator L1
WELEV00M01,417,643,01,Tower,ELEV,Elevator M Floor 1,Elevator M1
wSTOR0011,116,292,01,Tower,STOR,West Plaza,West Plaza
HBATH00102,212,371,02,Tower,BATH,Bathroom 1 Tower Floor 2,Bathroom 0102
HDEPT00102,662,693,02,Tower,DEPT,Endoscopy,Endoscopy
HHALL00102,482,288,02,Tower,HALL,Hallway Connector 1 Floor 2,Hallway H00102
HHALL00202,562,263,02,Tower,HALL,Hallway Connector 2 Floor 2,Hallway H00202
HHALL00302,642,263,02,Tower,HALL,Hallway Connector 3 Floor 2,Hallway H00302
HHALL00402,482,388,02,Tower,HALL,Hallway Connector 4 Floor 2,Hallway H00402
HHALL00502,432,388,02,Tower,HALL,Hallway Connector 5 Floor 2,Hallway H00502
HHALL00602,382,443,02,Tower,HALL,Hallway Connector 6 Floor 2,Hallway H00602
HHALL00702,347,528,02,Tower,HALL,Hallway Connector 7 Floor 2,Hallway H00702
HHALL00802,347,593,02,Tower,HALL,Hallway Connector 8 Floor 2,Hallway H00802
HHALL00902,347,643,02,Tower,HALL,Hallway Connector 9 Floor 2,Hallway H00902
HHALL01002,662,643,02,Tower,HALL,Hallway Connector 10 Floor 2,Hallway H01002
HRETL00102,542,223,02,Tower,RETL,Garden Cafe,Garden Cafe
HRETL00202,222,388,02,Tower,RETL,Vending Machine Floor 2?,Vending Machine
HRETL00302,432,443,02,Tower,RETL,Gift Shop Tower Floor 2,Gift Shop
HSTAI00102,667,243,02,Tower,STAI,Stairwell 1 Floor 2,Stairwell 0102
HSTAI00202,302,528,02,Tower,STAI,Stairwell 2 Tower Floor 2,Stairwell 0202
HSTAI00302,397,593,02,Tower,STAI,Escalator 1 Floor 2,Escalator 1 Floor 2
WELEV00L02,412,288,02,Tower,ELEV,Elevator L Floor 2,Elevator L2
WELEV00M02,432,643,02,Tower,ELEV,Elevator M Floor 2,Elevator M2
WHALL00702,347,863,02,Tower,HALL,Hallway Connector 7 Floor 2,Hallway W0702
HBATH00103,392,193,03,Tower,BATH,Bathroom 1 Tower Floor 3,Bathroom 0103
HBATH00203,357,348,03,Tower,BATH,Bathroom 2 Tower Floor 3,Bathroom 0203
HDEPT00103,332,263,03,Tower,DEPT,Dialysis Waiting Room,Dialysis WR
HDEPT00203,297,193,03,Tower,DEPT,MICU 3BC Waiting Room,MICU 3BC WR
HHALL00103,-68,18,03,Tower,HALL,Hallway Connector 1 Floor 3,Hallway H00103
HHALL00203,-158,348,03,Tower,HALL,Hallway Connector 2 Floor 3,Hallway H00203
HHALL00303,-68,348,03,Tower,HALL,Hallway Connector 3 Floor 3,Hallway H00303
HHALL00403,-68,653,03,Tower,HALL,Hallway Connector 4 Floor 3,Hallway H00403
HHALL00503,287,653,03,Tower,HALL,Hallway Connector 5 Floor 3,Hallway H00502
HHALL00603,342,288,03,Tower,HALL,Hallway Connector 6 Floor 3,Hallway H00603
HHALL00703,342,263,03,Tower,HALL,Hallway Connector 7 Floor 3,Hallway H00703
HHALL00803,342,228,03,Tower,HALL,Hallway Connector 8 Floor 3,Hallway H00803
HHALL00903,342,183,03,Tower,HALL,Hallway Connector 9 Floor 3,Hallway H00903
HHALL01003,392,183,03,Tower,HALL,Hallway Connector 10 Floor 3,Hallway H01003
HHALL01103,297,183,03,Tower,HALL,Hallway Connector 11 Floor 3,Hallway H01103
HHALL01203,207,183,03,Tower,HALL,Hallway Connector 12 Floor 3,Hallway H01203
HHALL01303,207,393,03,Tower,HALL,Hallway Connector 13 Floor 3,Hallway H01303
HHALL01403,342,393,03,Tower,HALL,Hallway Connector 14 Floor 3,Hallway H01403
HHALL01503,342,348,03,Tower,HALL,Hallway Connector 15 Floor 3,Hallway H01503
HLABS00103,-158,228,03,Tower,LABS,Reproductive Endocrine Labs,Reproductive Endocrine Labs
HSERV00103,357,228,03,Tower,SERV,Nursing Room,Nursing Room
HSTAI00103,287,638,03,Tower,STAI,Stairwell 1 Floor 3,Stairwell
WELEV00L03,397,288,03,Tower,ELEV,Elevator L Floor 3,Elevator L3
WELEV00M03,422,653,03,Tower,ELEV,Elevator M Floor 3,Elevator M3
wSTOR0013,126,133,03,Tower,STOR,Pod B clean Equipment storage,Pod B Equip Stor
wSTOR0023,126,464,03,Tower,STOR,Pod C clean equipment storage,Pod C Equip Stor
wSTOR0033,167,293,03,Tower,STOR,Dirty Equipment Storage,DES3
wPATI0013,40,146,03,Tower,PATI,Pod B Patient rooms,PodBPatiR
wPATI0023,40,428,03,Tower,PATI,Pod C Patient rooms,PodCPatiR
wDIRT0013,289,180,03,Tower,DIRT,Bed and recliner parking AB,BedandRecPAB
wDIRT0023,284,396,03,Tower,DIRT,Bed and recliner parking CD,BedandRecPCD
CDEPT002L1,587,207,L1,Tower,DEPT,Day Surgery Family Waiting Floor L1,Department C002L1
CDEPT003L1,452,207,L1,Tower,DEPT,Day Surgery Family Waiting Exit Floor L1,Department C003L1
CHALL001L1,339,287,L1,Tower,HALL,Hallway 1 Floor L1,Hallway C001L1
CHALL005L1,357,647,L1,Tower,HALL,Hallway 5 Floor L1,Hallway C005L1
CHALL006L1,737,647,L1,Tower,HALL,Hallway 6 Floor L1,Hallway C006L1
CHALL007L1,737,408,L1,Tower,HALL,Hallway 7 Floor L1,Hallway C007L1
CHALL014L1,452,287,L1,Tower,HALL,Hallway 14 Floor L1,Hallway C014L1
CLABS001L1,572,647,L1,Tower,LABS,Outpatient Fluoroscopy Floor L1,Lab C001L1
CLABS002L1,357,453,L1,Tower,LABS,Pre-Op PACU Floor L1,Lab C002L1
CREST001L1,339,382,L1,Tower,REST,Restroom L Elevator Floor L1,Restroom C001L1
CREST002L1,672,647,L1,Tower,REST,Restroom M Elevator Floor L1,Restroom C002L1
WELEV00LL1,392,287,L1,Tower,ELEV,Elevator L Floor L1,Elevator LL1
WELEV00ML1,427,647,L1,Tower,ELEV,Elevator M Floor L1,Elevator ML1
wSTOR001L1,277,210,L1,Tower,STOR,OR Bed Park,OR Bed Park
CHALL005L2,352,643,L2,Tower,HALL,Hallway 5 Floor L2,Hallway C005L2
CHALL006L2,352,372,L2,Tower,HALL,Hallway 6 Floor L2,Hallway C006L2
CHALL007L2,337,372,L2,Tower,HALL,Hallway 7 Floor L2,Hallway C007L2
CHALL008L2,337,287,L2,Tower,HALL,Hallway 8 Floor L2,Hallway C008L2
CHALL009L2,337,212,L2,Tower,HALL,Hallway 9 Floor L2,Hallway C009L2
CHALL010L2,737,212,L2,Tower,HALL,Hallway 10 Floor L2,Hallway C010L2
WELEV00LL2,392,287,L2,Tower,ELEV,Elevator L Floor L2,Elevator LL2
WELEV00ML2,427,643,L2,Tower,ELEV,Elevator M Floor L2,Elevator ML2
WHALL001L2,352,887,L2,Tower,HALL,Hallway Connector 1 Floor L2,Hallway W01L2
